tileName,tileIndexX,tileIndexY,tileType,tileSize,tileScaleFactor,tileLayer,textureId,textureRectLeft,textureRectTop,textureRectWidth,textureRectHeight
"Tile(0, 0)",0,0,0,16,4,0,graphics/editor/FireTileSet.png,192,192,16,16
"Tile(0, 1)",0,1,0,16,4,0,graphics/editor/FireTileSet.png,192,208,16,16
"Tile(0, 2)",0,2,0,16,4,0,graphics/editor/FireTileSet.png,192,224,16,16
"Tile(0, 3)",0,3,0,16,4,0,graphics/editor/FireTileSet.png,192,240,16,16
"Tile(0, 4)",0,4,0,16,4,0,graphics/editor/FireTileSet.png,192,256,16,16
"Tile(0, 5)",0,5,0,16,4,0,graphics/editor/FireTileSet.png,192,192,16,16
"Tile(0, 6)",0,6,0,16,4,0,graphics/editor/FireTileSet.png,192,208,16,16
"Tile(0, 7)",0,7,0,16,4,0,graphics/editor/FireTileSet.png,192,224,16,16
"Tile(0, 8)",0,8,0,16,4,0,graphics/editor/FireTileSet.png,192,240,16,16
"Tile(0, 9)",0,9,0,16,4,0,graphics/editor/FireTileSet.png,192,256,16,16
"Tile(0, 10)",0,10,0,16,4,0,graphics/editor/FireTileSet.png,192,192,16,16
"Tile(0, 11)",0,11,0,16,4,0,graphics/editor/FireTileSet.png,192,208,16,16
"Tile(0, 12)",0,12,0,16,4,0,graphics/editor/FireTileSet.png,192,224,16,16
"Tile(0, 13)",0,13,0,16,4,0,graphics/editor/FireTileSet.png,192,240,16,16
"Tile(0, 14)",0,14,0,16,4,0,graphics/editor/FireTileSet.png,192,256,16,16
"Tile(0, 15)",0,15,0,16,4,0,graphics/editor/FireTileSet.png,192,192,16,16
"Tile(0, 16)",0,16,0,16,4,0,graphics/editor/FireTileSet.png,192,208,16,16
"Tile(0, 17)",0,17,0,16,4,0,graphics/editor/FireTileSet.png,192,224,16,16
"Tile(0, 18)",0,18,0,16,4,0,graphics/editor/FireTileSet.png,192,240,16,16
"Tile(0, 19)",0,19,0,16,4,0,graphics/editor/FireTileSet.png,192,256,16,16
"Tile(0, 20)",0,20,0,16,4,0,graphics/editor/FireTileSet.png,192,192,16,16
"Tile(0, 21)",0,21,0,16,4,0,graphics/editor/FireTileSet.png,192,208,16,16
"Tile(0, 22)",0,22,0,16,4,0,graphics/editor/FireTileSet.png,192,224,16,16
"Tile(0, 23)",0,23,0,16,4,0,graphics/editor/FireTileSet.png,192,240,16,16
"Tile(0, 24)",0,24,0,16,4,0,graphics/editor/FireTileSet.png,192,256,16,16
